# Tier1_sims (Up to date)
# 920 data points written for 2 variables.
#
# CP location (in),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
NaN,0.006
NaN,0.006
NaN,0.006
NaN,0.006
NaN,0.006
NaN,0.006
NaN,0.007
NaN,0.007
NaN,0.007
NaN,0.007
NaN,0.008
# Event LIFTOFF occurred at t=0.035 seconds
NaN,0.008
NaN,0.009
NaN,0.009
NaN,0.01
NaN,0.011
NaN,0.012
NaN,0.012
NaN,0.013
NaN,0.014
NaN,0.015
NaN,0.017
NaN,0.018
NaN,0.019
NaN,0.02
NaN,0.021
NaN,0.022
NaN,0.023
NaN,0.024
NaN,0.025
NaN,0.026
NaN,0.027
NaN,0.028
NaN,0.029
NaN,0.031
NaN,0.032
NaN,0.033
NaN,0.034
NaN,0.035
NaN,0.036
NaN,0.037
NaN,0.039
NaN,0.039
NaN,0.04
NaN,0.041
# Event LAUNCHROD occurred at t=0.161 seconds
97.564,0.042
97.808,0.044
98.155,0.047
98.636,0.05
98.981,0.053
99.359,0.058
99.783,0.063
100.054,0.067
100.57,0.073
101.045,0.079
101.268,0.081
101.491,0.086
101.769,0.091
101.963,0.096
102.234,0.102
102.489,0.108
102.612,0.111
102.701,0.115
102.817,0.122
102.943,0.128
103.102,0.135
103.256,0.141
103.295,0.143
103.368,0.145
103.475,0.149
103.634,0.155
103.792,0.162
103.886,0.169
103.982,0.176
104.004,0.178
104.094,0.18
104.227,0.184
104.424,0.189
104.682,0.196
104.877,0.203
105.069,0.21
105.154,0.214
105.26,0.218
105.42,0.226
105.575,0.233
105.696,0.24
105.821,0.247
105.865,0.25
105.943,0.254
106.061,0.259
106.216,0.267
106.333,0.274
106.445,0.281
106.527,0.286
106.773,0.294
107.019,0.301
107.206,0.308
107.336,0.316
107.467,0.323
107.613,0.33
107.634,0.337
107.482,0.345
107.317,0.352
107.163,0.359
107.032,0.366
106.913,0.372
106.777,0.379
106.629,0.386
106.588,0.388
106.529,0.391
106.476,0.395
106.438,0.4
106.409,0.406
106.423,0.411
106.427,0.412
106.434,0.413
106.445,0.415
106.464,0.417
106.483,0.419
106.466,0.422
106.452,0.427
106.456,0.432
106.484,0.436
106.529,0.441
106.55,0.442
106.563,0.445
106.593,0.448
106.642,0.453
106.737,0.457
106.848,0.461
106.917,0.463
107.035,0.467
107.184,0.471
107.347,0.475
107.524,0.478
107.705,0.482
107.733,0.483
107.777,0.484
107.831,0.485
107.738,0.487
107.602,0.49
107.46,0.493
107.367,0.497
107.286,0.501
107.277,0.501
107.248,0.502
107.207,0.503
107.148,0.504
107.067,0.507
106.962,0.51
106.89,0.513
106.84,0.517
106.826,0.518
106.828,0.52
106.846,0.523
106.887,0.526
106.947,0.529
107.026,0.533
107.072,0.534
107.126,0.537
107.213,0.54
107.321,0.543
107.463,0.546
107.614,0.549
107.654,0.55
107.71,0.551
107.797,0.553
107.927,0.555
107.853,0.557
107.714,0.559
107.58,0.562
107.46,0.564
107.366,0.566
107.317,0.566
107.255,0.567
107.207,0.567
107.184,0.568
107.176,0.568
107.206,0.567
107.23,0.567
107.271,0.566
107.309,0.566
107.364,0.565
107.385,0.565
107.433,0.564
107.512,0.563
107.629,0.562
107.752,0.561
107.88,0.56
# Event BURNOUT occurred at t=2.4 seconds
# Event EJECTION_CHARGE occurred at t=2.4 seconds
107.898,0.559
107.823,0.558
107.752,0.557
107.674,0.556
107.59,0.554
107.516,0.553
107.473,0.552
107.442,0.551
107.417,0.55
107.398,0.549
107.393,0.547
107.376,0.546
107.372,0.545
107.381,0.544
107.401,0.543
107.434,0.542
107.496,0.541
107.568,0.539
107.642,0.538
107.717,0.537
107.796,0.536
107.849,0.535
107.895,0.534
107.829,0.533
107.756,0.531
107.688,0.53
107.588,0.529
107.498,0.528
107.434,0.527
107.398,0.526
107.373,0.525
107.383,0.524
107.405,0.523
107.423,0.521
107.439,0.52
107.464,0.519
107.536,0.518
107.616,0.517
107.666,0.516
107.685,0.515
107.707,0.514
107.76,0.513
107.814,0.512
107.847,0.511
107.754,0.51
107.665,0.509
107.625,0.507
107.59,0.506
107.558,0.505
107.528,0.504
107.506,0.503
107.533,0.502
107.567,0.501
107.588,0.5
107.595,0.499
107.607,0.498
107.627,0.497
107.65,0.496
107.652,0.495
107.632,0.494
107.616,0.493
107.662,0.492
107.712,0.491
107.773,0.49
107.839,0.489
107.767,0.487
107.736,0.486
107.707,0.485
107.703,0.484
107.722,0.483
107.744,0.482
107.696,0.481
107.652,0.48
107.639,0.479
107.658,0.478
107.68,0.477
107.626,0.476
107.576,0.475
107.575,0.474
107.621,0.473
107.671,0.472
107.655,0.471
107.642,0.47
107.64,0.469
107.649,0.468
107.662,0.467
107.716,0.466
107.772,0.465
107.796,0.464
107.789,0.463
107.782,0.463
107.808,0.462
107.775,0.461
107.739,0.46
107.702,0.459
107.666,0.458
107.67,0.457
107.677,0.456
107.688,0.455
107.703,0.454
107.721,0.453
107.701,0.452
107.684,0.451
107.675,0.45
107.674,0.449
107.675,0.448
107.717,0.447
107.76,0.446
107.76,0.445
107.717,0.444
107.676,0.443
107.719,0.442
107.764,0.441
107.78,0.44
107.768,0.439
107.755,0.439
107.71,0.438
107.667,0.437
107.666,0.436
107.708,0.435
107.751,0.434
107.746,0.433
107.742,0.432
107.746,0.431
107.76,0.43
107.774,0.429
107.736,0.428
107.699,0.428
107.68,0.427
107.68,0.426
107.681,0.425
107.746,0.424
107.732,0.423
107.687,0.422
107.662,0.421
107.64,0.42
107.708,0.419
107.757,0.419
107.732,0.418
107.753,0.417
107.755,0.416
107.729,0.415
107.685,0.414
107.647,0.413
107.616,0.412
107.586,0.412
107.596,0.411
107.608,0.41
107.639,0.409
107.688,0.408
107.738,0.407
107.738,0.406
107.737,0.405
107.751,0.405
107.711,0.404
107.672,0.403
107.675,0.402
107.679,0.401
107.651,0.4
107.591,0.399
107.534,0.398
107.517,0.398
107.503,0.397
107.475,0.396
107.433,0.395
107.396,0.394
107.416,0.393
107.439,0.392
107.441,0.392
107.421,0.391
107.405,0.39
107.393,0.389
107.385,0.388
107.446,0.387
107.576,0.386
107.708,0.386
107.67,0.385
107.577,0.384
107.536,0.383
107.546,0.382
107.557,0.381
107.519,0.381
107.483,0.38
107.445,0.379
107.404,0.378
107.367,0.377
107.354,0.376
107.345,0.376
107.343,0.375
107.349,0.374
107.359,0.373
107.365,0.372
107.375,0.372
107.378,0.371
107.373,0.37
107.372,0.369
107.405,0.368
107.44,0.367
107.46,0.367
107.465,0.366
107.472,0.365
107.504,0.364
107.538,0.363
107.592,0.363
107.664,0.362
107.692,0.361
107.653,0.36
107.614,0.359
107.569,0.359
107.517,0.358
107.467,0.357
107.466,0.356
107.467,0.355
107.472,0.355
107.482,0.354
107.493,0.353
107.481,0.352
107.471,0.351
107.461,0.351
107.452,0.35
107.445,0.349
107.448,0.348
107.454,0.347
107.499,0.347
107.584,0.346
107.671,0.345
107.656,0.344
107.641,0.344
107.631,0.343
107.624,0.342
107.619,0.341
107.568,0.341
107.518,0.34
107.495,0.339
107.498,0.338
107.504,0.337
107.533,0.337
107.565,0.336
107.567,0.335
107.542,0.334
107.519,0.333
107.491,0.333
107.465,0.332
107.459,0.331
107.472,0.33
107.486,0.33
107.542,0.329
107.599,0.328
107.644,0.327
107.678,0.327
107.662,0.326
107.594,0.325
107.527,0.324
107.499,0.324
107.508,0.323
107.519,0.322
107.512,0.321
107.506,0.32
107.491,0.32
107.467,0.319
107.445,0.318
107.387,0.317
107.332,0.317
107.275,0.316
107.218,0.315
107.164,0.315
107.224,0.314
107.287,0.313
107.34,0.312
107.384,0.311
107.43,0.311
107.361,0.31
107.294,0.309
107.296,0.309
107.366,0.308
107.438,0.307
