# Tier1_sims (Up to date)
# 984 data points written for 2 variables.
#
# Angle of attack (°),Normal force coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
85,NaN
84.848,NaN
82.945,NaN
80.234,NaN
75.392,NaN
69.663,NaN
63.326,NaN
61.687,NaN
59.247,NaN
55.706,NaN
50.701,NaN
# Event LIFTOFF occurred at t=0.035 seconds
45.304,NaN
42.959,NaN
39.714,NaN
35.654,NaN
32.163,NaN
30.462,NaN
28.266,NaN
25.953,NaN
23.967,NaN
22.247,NaN
20.745,NaN
19.425,NaN
18.255,NaN
17.213,NaN
16.28,NaN
15.439,NaN
14.679,NaN
13.987,NaN
13.552,NaN
12.972,NaN
12.44,NaN
11.951,NaN
11.499,NaN
11.081,NaN
10.693,NaN
10.331,NaN
9.994,NaN
9.679,NaN
9.383,NaN
9.106,NaN
8.844,NaN
8.72,NaN
8.513,NaN
8.251,NaN
# Event LAUNCHROD occurred at t=0.161 seconds
8.003,1.611
7.672,1.518
7.221,1.396
6.631,1.242
6.231,1.142
5.814,1.04
5.369,0.936
5.098,0.875
4.604,0.767
4.176,0.677
3.983,0.638
3.795,0.6
3.567,0.556
3.412,0.527
3.202,0.487
3.009,0.452
2.918,0.435
2.854,0.424
2.77,0.409
2.68,0.393
2.569,0.374
2.462,0.356
2.436,0.351
2.387,0.343
2.314,0.331
2.209,0.313
2.105,0.297
2.046,0.287
1.985,0.277
1.972,0.275
1.915,0.266
1.831,0.253
1.709,0.234
1.553,0.21
1.439,0.193
1.328,0.176
1.279,0.169
1.22,0.161
1.131,0.148
1.046,0.136
0.981,0.127
0.915,0.118
0.892,0.114
0.851,0.109
0.789,0.101
0.709,0.09
0.65,0.082
0.594,0.075
0.554,0.069
0.431,0.053
0.311,0.038
0.223,0.027
0.162,0.02
0.103,0.012
0.036,0.004
0.029,0.003
0.103,0.012
0.185,0.022
0.263,0.032
0.329,0.04
0.392,0.048
0.463,0.057
0.541,0.068
0.563,0.071
0.594,0.075
0.624,0.079
0.646,0.082
0.663,0.084
0.659,0.083
0.657,0.083
0.654,0.083
0.649,0.082
0.641,0.081
0.632,0.08
0.642,0.081
0.652,0.082
0.652,0.082
0.64,0.081
0.619,0.078
0.609,0.077
0.603,0.076
0.59,0.074
0.567,0.071
0.521,0.065
0.466,0.058
0.433,0.054
0.376,0.046
0.304,0.037
0.227,0.028
0.144,0.017
0.06,0.007
0.048,0.006
0.027,0.003
0.003,0
0.047,0.006
0.113,0.014
0.183,0.022
0.23,0.028
0.271,0.033
0.276,0.034
0.29,0.036
0.311,0.038
0.341,0.042
0.383,0.047
0.437,0.054
0.475,0.059
0.503,0.063
0.511,0.064
0.511,0.064
0.504,0.063
0.486,0.061
0.458,0.057
0.42,0.052
0.398,0.049
0.373,0.046
0.333,0.041
0.282,0.035
0.216,0.026
0.145,0.018
0.127,0.015
0.101,0.012
0.062,0.007
0.003,0
0.038,0.005
0.105,0.013
0.171,0.021
0.23,0.028
0.278,0.034
0.302,0.037
0.333,0.041
