# Tier1_sims (Up to date)
# 1243 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Thrust (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0
0.004,434.61
0.008,869.22
0.011,1195.177
0.015,1452.016
0.019,1708.855
0.023,1965.693
0.024,2029.903
0.026,2070.399
0.028,2131.143
0.031,2222.259
# Event LIFTOFF occurred at t=0.035 seconds
0.035,2330.248
0.037,2380.868
0.04,2415.755
0.044,2465.371
0.048,2514.988
0.05,2542.122
0.053,2543.989
0.057,2546.266
0.061,2548.542
0.065,2550.819
0.069,2553.095
0.073,2555.372
0.077,2557.648
0.081,2559.925
0.085,2562.201
0.089,2564.478
0.093,2566.754
0.097,2569.031
0.1,2570.578
0.104,2569.819
0.108,2569.06
0.112,2568.302
0.116,2567.543
0.12,2566.784
0.124,2566.025
0.128,2565.266
0.132,2564.508
0.136,2563.749
0.14,2562.99
0.144,2562.231
0.148,2561.472
0.15,2561.093
0.153,2558.816
0.157,2555.781
# Event LAUNCHROD occurred at t=0.161 seconds
0.161,2552.746
0.167,2548.193
0.176,2541.363
0.189,2531.119
0.2,2523.151
0.216,2511.199
0.236,2496.022
0.25,2485.208
0.27,2500.385
0.29,2515.562
0.3,2523.151
0.315,2537.379
0.335,2556.35
0.35,2570.578
0.37,2612.314
0.39,2654.051
0.4,2674.919
0.415,2710.49
0.435,2757.917
0.455,2805.345
0.475,2852.772
0.495,2900.2
0.5,2912.057
0.507,2924.151
0.519,2942.292
0.536,2969.504
0.556,3001.755
0.576,3034.005
0.596,3066.256
0.6,3073.311
0.607,3073.311
0.616,3073.311
0.631,3073.311
0.651,3073.311
0.671,3073.311
0.691,3073.311
0.7,3073.311
0.713,3077.079
0.733,3082.732
0.753,3088.423
0.773,3094.115
0.793,3099.806
0.8,3101.768
0.81,3100.787
0.826,3099.315
0.846,3097.418
0.866,3095.521
0.886,3093.624
0.9,3092.282
0.92,3092.282
0.94,3092.282
0.96,3092.282
0.98,3092.282
1,3092.282
1.02,3065.723
1.04,3039.163
1.06,3012.604
1.08,2986.044
1.1,2959.485
1.12,2924.19
1.14,2888.895
1.16,2853.6
1.18,2818.305
1.186,2807.716
1.195,2726.511
1.208,2604.703
1.227,2437.781
1.247,2353.955
1.267,2270.13
1.27,2257.556
1.274,2243.328
1.281,2221.985
1.291,2189.972
1.3,2162.701
1.313,2140.612
1.332,2107.477
1.352,2073.329
1.372,2039.181
1.392,2005.033
1.4,1991.961
1.411,1978.889
1.429,1959.28
1.449,1936.515
1.469,1913.75
1.489,1890.985
1.5,1878.135
1.517,1863.679
1.537,1846.605
1.557,1829.531
1.577,1812.457
1.597,1795.383
1.6,1792.765
1.605,1787.966
1.611,1780.767
1.622,1769.968
1.637,1753.771
1.657,1732.903
1.677,1712.034
1.697,1691.166
1.7,1688.424
1.704,1685.432
1.71,1680.945
1.719,1674.214
1.732,1664.118
1.752,1648.973
1.772,1633.796
1.792,1618.619
1.8,1612.54
1.812,1609.12
1.83,1603.991
1.85,1598.299
1.87,1592.608
1.89,1586.916
1.9,1584.083
1.915,1576.999
1.935,1567.514
1.955,1558.029
1.975,1548.543
1.995,1539.058
2,1536.656
2.008,1530.651
2.019,1521.644
2.036,1508.134
2.048,1498.714
2.066,1451.615
2.084,1403.858
2.102,1166.72
2.122,935.51
2.134,796.784
2.152,678.58
2.172,547.242
2.186,455.305
2.206,369.749
2.226,284.194
2.237,237.138
2.254,199.873
2.274,154.704
2.294,109.535
2.3,94.855
2.31,85.607
2.324,71.734
