# Tier1_sims (Up to date)
# 1243 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (kg·m²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,52.693,10.474,28.317
0.004,52.691,10.472,28.315
0.008,52.688,10.469,28.313
0.011,52.686,10.467,28.312
0.015,52.679,10.46,28.307
0.019,52.672,10.453,28.301
0.023,52.665,10.446,28.296
0.024,52.663,10.444,28.295
0.026,52.66,10.441,28.292
0.028,52.654,10.435,28.288
0.031,52.646,10.427,28.282
# Event LIFTOFF occurred at t=0.035 seconds
0.035,52.637,10.418,28.274
0.037,52.632,10.413,28.271
0.04,52.625,10.406,28.265
0.044,52.614,10.395,28.257
0.048,52.603,10.384,28.249
0.05,52.597,10.378,28.244
0.053,52.588,10.369,28.237
0.057,52.577,10.358,28.229
0.061,52.566,10.347,28.22
0.065,52.555,10.336,28.212
0.069,52.544,10.325,28.203
0.073,52.533,10.314,28.195
0.077,52.522,10.303,28.186
0.081,52.51,10.291,28.177
0.085,52.499,10.28,28.169
0.089,52.488,10.269,28.16
0.093,52.477,10.258,28.152
0.097,52.466,10.247,28.143
0.1,52.458,10.239,28.137
0.104,52.447,10.228,28.129
0.108,52.436,10.217,28.12
0.112,52.425,10.206,28.112
0.116,52.414,10.195,28.103
0.12,52.403,10.184,28.094
0.124,52.392,10.172,28.086
0.128,52.38,10.161,28.077
0.132,52.369,10.15,28.069
0.136,52.358,10.139,28.06
0.14,52.347,10.128,28.051
0.144,52.336,10.117,28.043
0.148,52.325,10.106,28.034
0.15,52.319,10.1,28.03
0.153,52.311,10.092,28.023
0.157,52.3,10.081,28.015
# Event LAUNCHROD occurred at t=0.161 seconds
0.161,52.289,10.07,28.006
0.167,52.272,10.053,27.993
0.176,52.247,10.028,27.974
0.189,52.21,9.991,27.945
0.2,52.181,9.962,27.923
0.216,52.138,9.919,27.889
0.236,52.084,9.865,27.847
0.25,52.045,9.826,27.816
0.27,51.99,9.771,27.774
0.29,51.936,9.717,27.731
0.3,51.909,9.69,27.71
0.315,51.867,9.648,27.677
0.335,51.812,9.593,27.634
0.35,51.77,9.551,27.601
0.37,51.713,9.494,27.556
0.39,51.656,9.437,27.51
0.4,51.628,9.409,27.488
0.415,51.582,9.363,27.452
0.435,51.522,9.303,27.403
0.455,51.461,9.242,27.355
0.475,51.4,9.181,27.306
0.495,51.339,9.12,27.257
0.5,51.324,9.105,27.245
0.507,51.3,9.081,27.226
0.519,51.263,9.044,27.196
0.536,51.208,8.989,27.152
0.556,51.143,8.924,27.099
0.576,51.078,8.859,27.047
0.596,51.013,8.794,26.994
0.6,50.999,8.78,26.982
0.607,50.977,8.758,26.964
0.616,50.944,8.725,26.938
0.631,50.895,8.676,26.897
0.651,50.828,8.609,26.843
0.671,50.761,8.542,26.788
0.691,50.695,8.476,26.733
0.7,50.665,8.446,26.709
0.713,50.621,8.402,26.672
0.733,50.554,8.335,26.617
0.753,50.487,8.268,26.561
0.773,50.42,8.201,26.506
0.793,50.353,8.134,26.45
0.8,50.33,8.11,26.43
0.81,50.295,8.076,26.401
0.826,50.243,8.023,26.358
0.846,50.175,7.956,26.301
0.866,50.108,7.889,26.245
0.886,50.041,7.822,26.188
0.9,49.993,7.774,26.148
0.92,49.926,7.707,26.091
0.94,49.859,7.64,26.033
0.96,49.791,7.572,25.976
0.98,49.724,7.505,25.919
1,49.657,7.438,25.861
1.02,49.591,7.372,25.805
1.04,49.525,7.306,25.748
1.06,49.46,7.241,25.692
1.08,49.394,7.175,25.635
1.1,49.328,7.109,25.578
1.12,49.265,7.046,25.523
1.14,49.203,6.984,25.468
1.16,49.14,6.921,25.414
1.18,49.077,6.858,25.359
1.186,49.059,6.84,25.342
1.195,49.033,6.814,25.32
1.208,48.994,6.775,25.286
1.227,48.942,6.723,25.239
1.247,48.891,6.672,25.194
1.267,48.84,6.621,25.149
1.27,48.832,6.613,25.142
1.274,48.821,6.602,25.133
1.281,48.805,6.586,25.118
1.291,48.781,6.562,25.097
1.3,48.76,6.541,25.079
1.313,48.731,6.512,25.053
1.332,48.687,6.468,25.014
1.352,48.642,6.423,24.973
1.372,48.597,6.378,24.933
1.392,48.551,6.332,24.893
1.4,48.534,6.315,24.877
1.411,48.51,6.291,24.855
1.429,48.474,6.255,24.823
1.449,48.432,6.213,24.785
1.469,48.39,6.171,24.747
1.489,48.348,6.129,24.709
1.5,48.324,6.105,24.688
1.517,48.29,6.071,24.657
1.537,48.25,6.031,24.621
1.557,48.21,5.991,24.585
1.577,48.17,5.951,24.548
1.597,48.131,5.912,24.512
1.6,48.124,5.905,24.507
1.605,48.116,5.897,24.499
1.611,48.103,5.884,24.487
1.622,48.083,5.864,24.469
1.637,48.054,5.835,24.442
1.657,48.016,5.797,24.407
1.677,47.978,5.759,24.373
1.697,47.94,5.721,24.338
1.7,47.935,5.716,24.333
1.704,47.928,5.709,24.327
1.71,47.918,5.699,24.317
1.719,47.902,5.683,24.303
1.732,47.878,5.659,24.281
1.752,47.842,5.623,24.248
1.772,47.806,5.587,24.215
1.792,47.77,5.551,24.181
1.8,47.756,5.537,24.168
1.812,47.735,5.516,24.149
1.83,47.704,5.485,24.12
1.85,47.669,5.45,24.087
1.87,47.634,5.415,24.055
1.89,47.6,5.381,24.023
1.9,47.582,5.363,24.007
1.915,47.557,5.338,23.983
1.935,47.523,5.304,23.951
1.955,47.489,5.27,23.92
1.975,47.455,5.236,23.888
1.995,47.421,5.202,23.856
2,47.413,5.194,23.848
2.008,47.4,5.181,23.836
2.019,47.381,5.162,23.819
2.036,47.353,5.134,23.792
2.048,47.334,5.114,23.774
2.066,47.305,5.086,23.747
2.084,47.277,5.058,23.72
2.102,47.252,5.033,23.696
2.122,47.23,5.011,23.676
2.134,47.217,4.998,23.664
2.152,47.205,4.986,23.653
2.172,47.192,4.973,23.64
2.186,47.182,4.963,23.631
2.206,47.175,4.956,23.623
2.226,47.167,4.948,23.616
2.237,47.163,4.944,23.612
2.254,47.16,4.941,23.61
2.274,47.156,4.937,23.606
2.294,47.153,4.934,23.603
2.3,47.152,4.932,23.602
2.31,47.151,4.932,23.601
2.324,47.15,4.931,23.6
2.344,47.149,4.93,23.599
2.364,47.148,4.929,23.599
2.384,47.147,4.928,23.598
# Event BURNOUT occurred at t=2.4 seconds
# Event EJECTION_CHARGE occurred at t=2.4 seconds
2.4,47.146,4.927,23.597
2.42,47.146,4.927,23.597
2.44,47.146,4.927,23.597
2.46,47.146,4.927,23.597
2.48,47.146,4.927,23.597
2.5,47.146,4.927,23.597
2.52,47.146,4.927,23.597
2.54,47.146,4.927,23.597
2.56,47.146,4.927,23.597
2.58,47.146,4.927,23.597
2.6,47.146,4.927,23.597
2.62,47.146,4.927,23.597
2.64,47.146,4.927,23.597
2.66,47.146,4.927,23.597
2.68,47.146,4.927,23.597
2.7,47.146,4.927,23.597
2.72,47.146,4.927,23.597
2.74,47.146,4.927,23.597
2.76,47.146,4.927,23.597
2.78,47.146,4.927,23.597
2.8,47.146,4.927,23.597
2.82,47.146,4.927,23.597
2.84,47.146,4.927,23.597
2.86,47.146,4.927,23.597
2.88,47.146,4.927,23.597
2.9,47.146,4.927,23.597
2.92,47.146,4.927,23.597
2.94,47.146,4.927,23.597
2.96,47.146,4.927,23.597
2.98,47.146,4.927,23.597
3,47.146,4.927,23.597
3.02,47.146,4.927,23.597
3.04,47.146,4.927,23.597
3.06,47.146,4.927,23.597
3.08,47.146,4.927,23.597
3.1,47.146,4.927,23.597
3.12,47.146,4.927,23.597
3.14,47.146,4.927,23.597
3.16,47.146,4.927,23.597
3.18,47.146,4.927,23.597
3.2,47.146,4.927,23.597
3.22,47.146,4.927,23.597
3.24,47.146,4.927,23.597
3.26,47.146,4.927,23.597
3.28,47.146,4.927,23.597
3.3,47.146,4.927,23.597
3.32,47.146,4.927,23.597
3.34,47.146,4.927,23.597
3.36,47.146,4.927,23.597
3.38,47.146,4.927,23.597
