# Tier1_sims (Up to date)
# 1243 data points written for 11 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Angle of attack (°),CP location (in),CG location (in),Stability margin calibers (​),Drag coefficient (​),Normal force coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,NaN,92.052,NaN,1.777,NaN,1013.25,0.001,340.389,0
0.004,0,NaN,92.049,NaN,1.777,NaN,1013.25,0.001,340.389,0
0.008,0,NaN,92.047,NaN,1.427,NaN,1013.25,0.001,340.389,0
0.011,0,NaN,92.045,NaN,1.142,NaN,1013.25,0.001,340.389,0.001
0.015,0,NaN,92.038,NaN,0.97,NaN,1013.25,0.001,340.389,0.001
0.019,0,NaN,92.032,NaN,0.877,NaN,1013.25,0.001,340.389,0.002
0.023,0,NaN,92.025,NaN,0.816,NaN,1013.249,0.001,340.389,0.003
0.024,0,NaN,92.023,NaN,0.803,NaN,1013.249,0.001,340.389,0.003
0.026,0,NaN,92.02,NaN,0.786,NaN,1013.249,0.001,340.389,0.003
0.028,0,NaN,92.015,NaN,0.765,NaN,1013.249,0.001,340.389,0.004
0.031,0,NaN,92.007,NaN,0.738,NaN,1013.248,0.001,340.389,0.004
# Event LIFTOFF occurred at t=0.035 seconds
0.035,0,NaN,91.998,NaN,0.713,NaN,1013.247,0.001,340.389,0.005
0.037,0,NaN,91.993,NaN,0.703,NaN,1013.247,0.001,340.389,0.006
0.04,0,NaN,91.986,NaN,0.69,NaN,1013.246,0.001,340.389,0.007
0.044,0,NaN,91.976,NaN,0.673,NaN,1013.245,0.001,340.389,0.008
0.048,0,NaN,91.965,NaN,0.66,NaN,1013.244,0.001,340.389,0.009
0.05,0,NaN,91.96,NaN,0.653,NaN,1013.243,0.001,340.389,0.009
0.053,0,NaN,91.951,NaN,0.644,NaN,1013.242,0.001,340.389,0.01
0.057,0,NaN,91.94,NaN,0.634,NaN,1013.24,0.001,340.389,0.012
0.061,0,NaN,91.93,NaN,0.625,NaN,1013.238,0.001,340.388,0.013
0.065,0,NaN,91.919,NaN,0.617,NaN,1013.236,0.001,340.388,0.014
0.069,0,NaN,91.908,NaN,0.61,NaN,1013.234,0.001,340.388,0.015
0.073,0,NaN,91.898,NaN,0.604,NaN,1013.231,0.001,340.388,0.016
0.077,0,NaN,91.887,NaN,0.598,NaN,1013.228,0.001,340.388,0.017
0.081,0,NaN,91.876,NaN,0.593,NaN,1013.226,0.001,340.388,0.018
0.085,0,NaN,91.865,NaN,0.588,NaN,1013.223,0.001,340.388,0.02
0.089,0,NaN,91.855,NaN,0.584,NaN,1013.219,0.001,340.388,0.021
0.093,0,NaN,91.844,NaN,0.579,NaN,1013.216,0.001,340.388,0.022
0.097,0,NaN,91.833,NaN,0.576,NaN,1013.212,0.001,340.388,0.023
0.1,0,NaN,91.826,NaN,0.573,NaN,1013.21,0.001,340.388,0.024
0.104,0,NaN,91.815,NaN,0.569,NaN,1013.206,0.001,340.387,0.025
0.108,0,NaN,91.804,NaN,0.566,NaN,1013.202,0.001,340.387,0.026
0.112,0,NaN,91.794,NaN,0.563,NaN,1013.198,0.001,340.387,0.027
0.116,0,NaN,91.783,NaN,0.56,NaN,1013.193,0.001,340.387,0.028
0.12,0,NaN,91.772,NaN,0.557,NaN,1013.189,0.001,340.387,0.03
0.124,0,NaN,91.761,NaN,0.554,NaN,1013.184,0.001,340.387,0.031
0.128,0,NaN,91.75,NaN,0.552,NaN,1013.179,0.001,340.387,0.032
0.132,0,NaN,91.74,NaN,0.549,NaN,1013.174,0.001,340.386,0.033
0.136,0,NaN,91.729,NaN,0.547,NaN,1013.168,0.001,340.386,0.034
0.14,0,NaN,91.718,NaN,0.545,NaN,1013.163,0.001,340.386,0.035
0.144,0,NaN,91.707,NaN,0.543,NaN,1013.157,0.001,340.386,0.036
0.148,0,NaN,91.696,NaN,0.541,NaN,1013.151,0.001,340.386,0.038
